smi,adduct,ccs
CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C,[M+Na]+,321.88666666666666
CCC(C)[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N1CCC[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N3CCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)O)C3)C2)C(C)C)C1,[M+H]+,294.2
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,[M-H]-,172.363765
CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,[M+H]+,192.8
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,[M+H]+,187.5
Cc1cnc(O)[nH]c1=N,[M+Na]+,135.9
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,[M+H]+,289.2
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,[M-H]-,162.8
OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O,[M+H]+,163.6
CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,[M+Na]+,206.1
CCCCCC=CCC(=O)C=CC=CCC=CCCCC(=O)O,[M-H]-,181.0
CC(O)=NC1C(O)OC(CO)C(O)C1O,[M-H]-,153.7
CN=C(O)C(=NOC)c1ccccc1COc1cc(C)ccc1C,[M+Na]+,181.19999999999996
