smi,adduct,ccs
CCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@]2(C)OC(=O)CC)C1,[M+Na]+,230.4
CCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,[M+Na-2H]-,163.8
O=C([O-])CCCCCCC(=O)[O-],[M+Na]+,144.1
CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN(C(=O)CNC(=O)[C@@H](N)C[C@@H](C)O)C1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)O,[M+H]+,331.08
O=C1C(O)=C(O)OC1C(O)CO,[M-H]-,125.59999999999998
CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,[M-H]-,195.8
N=c1ccn(C2OC(CO)C(O)C2O)c(O)n1,[M-H]-,149.3
O=C(O)c1cc(O)nc(O)n1,[M+H]+,138.8
CCC(N)C(O)c1ccc(O)c(O)c1,[M+H-H2O]+,140.9
CC(=O)Oc1ccc(N=C(C)O)cc1,[M+H]+,143.1
COc1ccc(CC2c3cc(O)c(OC)cc3CCN2C)cc1O,[M-H]-,177.4
CC(O)=NC(CO)C(=O)O,[M+Na]+,133.3
CC(N)C(O)=NC(C)C(=O)O,[M+Na]+,142.8
CC(O)=NC(CCCN)C(=O)O,[M+H]+,136.909021375
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC21C,[M+Na]+,228.19999999999996
CCOc1ccc(N=C(C)O)cc1,[M+H]+,141.8
Oc1nc(O)c2nc(O)[nH]c2n1,[M+H]+,131.0
CC(C)CCCCC(C)CCCCCCCC(=O)OC[C@H](CO)OCCCCCCCCC1CCC2C3C=CCCC3C2C1,[M+NH4]+,269.94
CCCCCC=CCC=CC=CC=CC(SCC(N)C(=O)O)C(O)CCCC(=O)O,[M+H]+,213.3
CS(=O)(=O)c1ccc(C(O)C(CF)N=C(O)C(Cl)Cl)cc1,[M+Na]+,170.80000000000004
CC(C)CC(N=C(O)CN)C(=O)O,[M+H]+,149.6
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC21C,[M+H-H2O]+,192.6
CCC(C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](C[C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCNC1)C(C)CC)C(=O)N[C@@H](CC(C)C)C(=O)O,[M+H]+,143.2
O=c1nc(O)ccn1C1OC(COP(=O)(O)O)C(O)C1O,[M+Na]+,172.69999999999996
CC(O)C(O)c1cnc2[nH]c(=N)nc(O)c2n1,[M+H]+,153.69877485
NC(CCC(O)=NC(CCC(=O)O)C(=O)O)C(=O)O,[M+Na-2H]-,153.5
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,[M+H]+,187.5
N=C(N)N1CCc2ccccc2C1,[M+H]+,138.7
O=C(Oc1cccc2cccnc12)c1ccccc1,[M+H]+,153.8
O=P(O)(O)OCC1OC(O)CC1O,[M+Na]+,148.6
CCCCCC=CCC=CC=CC=CC(SCC(N)C(=O)O)C(O)CCCC(=O)O,[M+Na]+,227.9
Cn1c(=O)c2nc(O)[nH]c2n(C)c1=O,[M+H]+,143.1
O=C([O-])CCCCCCC(=O)[O-],[M+Na-2H]-,137.4
CON=C(C(O)=NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(=N)[nH]1,[M-H]-,214.0
CN(CC(=O)O)C(=N)NP(=O)(O)O,[M+H]+,144.7
Cc1cn(C2OC(CO)C(O)C2O)c(O)nc1=N,[M+Na]+,169.0
N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,[M+H]+,163.4
O=C(O)[C@H](O)CO,[M-H]-,112.6875
